n_iter,roc_auc_selector,mcc_selector,accuracy_selector,precision_selector,recall_selector,f1_score_selector,id_add,acquisition_add,id_forget,acquisition_forget,id_prior_al
0,0.7693777721853472,0.3666330710729399,0.7596059113300493,0.6791468885817862,0.6875832310967106,0.682984649729143,[759],[],[],[],"[625, 727]"
1,,,,,,,[389],[],[],[],"[625, 727, 759]"
2,,,,,,,[93],[],[],[],"[625, 727, 759, 389]"
3,,,,,,,[204],[],[],[],"[625, 727, 759, 389, 93]"
4,,,,,,,[1465],[],[],[],"[625, 727, 759, 389, 93, 204]"
5,,,,,,,[1081],[],[],[],"[625, 727, 759, 389, 93, 204, 1465]"
6,,,,,,,[1841],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081]"
7,,,,,,,[1130],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841]"
8,,,,,,,[2003],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130]"
9,,,,,,,[571],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003]"
10,0.623027357471662,0.24545126951821156,0.774384236453202,0.7239092495636998,0.5672664548533559,0.562918751610131,[826],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571]"
11,,,,,,,[963],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826]"
12,,,,,,,[1216],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963]"
13,,,,,,,[81],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216]"
14,,,,,,,[980],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81]"
15,,,,,,,[1699],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980]"
16,,,,,,,[1787],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699]"
17,,,,,,,[1707],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787]"
18,,,,,,,[255],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707]"
19,,,,,,,[406],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255]"
20,0.6114090828064215,0.22891481546745962,0.7714285714285715,0.8837675350701403,0.5341365461847389,0.4981501372478816,[876],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406]"
21,,,,,,,[1928],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876]"
22,,,,,,,[21],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876, 1928]"
23,,,,,,,[1635],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876, 1928, 21]"
24,,,,,,,[1602],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876, 1928, 21, 1635]"
25,,,,,,,[812],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876, 1928, 21, 1635, 1602]"
26,,,,,,,[1180],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876, 1928, 21, 1635, 1602, 812]"
27,,,,,,,[12],[],[],[],"[625, 727, 759, 389, 93, 204, 1465, 1081, 1841, 1130, 2003, 571, 826, 963, 1216, 81, 980, 1699, 1787, 1707, 255, 406, 876, 1928, 21, 1635, 1602, 812, 1180]"
