n_iter,roc_auc_selector,mcc_selector,accuracy_selector,precision_selector,recall_selector,f1_score_selector,id_add,acquisition_add,id_forget,acquisition_forget,id_prior_al
32,,,,,,,[621],[0.9984925389289856],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913]"
33,,,,,,,[863],[0.9927188754081726],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621]"
34,,,,,,,[192],[0.9999982118606567],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863]"
35,,,,,,,[776],[0.9999604821205139],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192]"
36,,,,,,,[70],[0.9990211129188538],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776]"
37,,,,,,,[1119],[0.9905708432197571],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70]"
38,,,,,,,[1981],[0.9984804391860962],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119]"
39,,,,,,,[724],[0.9976643919944763],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981]"
40,0.7215205469397171,0.4861038295067692,0.8295566502463054,0.8312060673325934,0.6783609634359894,0.7098183669051313,[486],[0.9943950176239014],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724]"
41,,,,,,,[1523],[0.989047110080719],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486]"
42,,,,,,,[876],[0.994864821434021],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523]"
43,,,,,,,[1191],[0.996103823184967],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826, 1913, 621, 863, 192, 776, 70, 1119, 1981, 724, 486, 1523, 876]"
